order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date,customer_city,customer_state,payment_type,payment_installments,payment_value,review_score,order_item_id,product_id,seller_id,price,freight_value,product_category_name,product_category_name_english,seller_city,seller_state
013a98b3a668bcef05b98898177f6923,60c23b4f05e926f24472f5ae2ec6b89c,delivered,"2018-08-11 23:17:37","2018-08-17 14:38:36",mendes,RJ,credit_card,3,198.70,3,1,a93ad122024312ca432da7f7b32474b4,8a432f4e5b471f8da497d7dc517666e2,63.00,23.35,cama_mesa_banho,"bed_bath_table","presidente prudente",SP
0094dc9ea7e3cd54d95aea42685673ff,5c98ab90d6e953f282ff28ebc43a090e,delivered,"2017-03-07 21:48:19","2017-03-14 15:34:31","rio de janeiro",RJ,credit_card,1,104.79,4,1,464383c22e65860826cf78650fe0f4e4,16090f2ca825584b5a147ab24aa30c86,89.99,14.80,consoles_games,"consoles_games",atibaia,SP
016befe103ce7c9e5b1b7ef359777eea,15f3f60c0575a9f2a7d5434f7b8a7692,delivered,"2017-09-03 10:11:52","2017-09-11 14:36:51","sao bento do sapucai",SP,credit_card,3,60.85,5,1,6c321ed0f47858a8650f4104771224b5,6560211a19b47992c3666cc44a7e94c0,49.00,11.85,relogios_presentes,"watches_gifts","sao paulo",SP
014872cb0c4fc7695c70484966baa65c,b103b8c8af8eb17c72c213b36ccd4f34,delivered,"2018-03-09 17:31:31","2018-03-16 20:18:17","belo horizonte",MG,boleto,1,312.84,5,4,f9471562478eba8761bc985b968a0092,3785b653b1b82de85ab47dd139938091,54.90,23.31,utilidades_domesticas,"housewares",ampere,PR
014872cb0c4fc7695c70484966baa65c,b103b8c8af8eb17c72c213b36ccd4f34,delivered,"2018-03-09 17:31:31","2018-03-16 20:18:17","belo horizonte",MG,boleto,1,312.84,5,3,f9471562478eba8761bc985b968a0092,3785b653b1b82de85ab47dd139938091,54.90,23.31,utilidades_domesticas,"housewares",ampere,PR
014872cb0c4fc7695c70484966baa65c,b103b8c8af8eb17c72c213b36ccd4f34,delivered,"2018-03-09 17:31:31","2018-03-16 20:18:17","belo horizonte",MG,boleto,1,312.84,5,2,f9471562478eba8761bc985b968a0092,3785b653b1b82de85ab47dd139938091,54.90,23.31,utilidades_domesticas,"housewares",ampere,PR
014872cb0c4fc7695c70484966baa65c,b103b8c8af8eb17c72c213b36ccd4f34,delivered,"2018-03-09 17:31:31","2018-03-16 20:18:17","belo horizonte",MG,boleto,1,312.84,5,1,f9471562478eba8761bc985b968a0092,3785b653b1b82de85ab47dd139938091,54.90,23.31,utilidades_domesticas,"housewares",ampere,PR
01e9b3d727e46edf036b0bd549c38bb4,14615837f83937b2dea94361cfb6770d,delivered,"2018-01-20 21:14:48","2018-02-05 21:37:03","laranjeiras do sul",PR,credit_card,1,116.36,5,1,af56e0203193f066ed64cbbbbf95ae6a,ef990a83bbea832f36ebe81376335aa8,99.90,16.46,esporte_lazer,"sports_leisure",joinville,SC
01f66e58769f84129811d43eefd187fb,e41819d1c95c12c9ce495b630eab8aee,delivered,"2018-07-09 21:18:01","2018-07-11 23:24:16","sao paulo",SP,credit_card,1,87.62,5,1,96bd76ec8810374ed1b65e291975717f,7b07b3c7487f0ea825fc6df75abd658b,79.80,7.82,esporte_lazer,"sports_leisure","sao paulo",SP
02ce7f70a5c7a6b04c29a98b061d68b7,c1aee4ecf1d8ededf571249287d56854,delivered,"2017-06-05 21:47:24","2017-06-16 17:32:37",jundiai,SP,credit_card,4,387.49,5,1,2bb3e85f2a403543fdb64e266e70c792,76d64c4aca3a7baf218bf93ef7fa768d,329.90,57.59,brinquedos,"toys",curitiba,PR
